name,year,award,movie,win
Richard Barthelmess,1928,ACTOR,The Noose,False
Emil Jannings,1928,ACTOR,The Last Command,True
Louise Dresser,1928,ACTRESS,A Ship Comes In,False
Janet Gaynor,1928,ACTRESS,7th Heaven,True
Gloria Swanson,1928,ACTRESS,Sadie Thompson,False
Charles Chaplin,1928,SPECIAL AWARD,The Circus,True
George Bancroft,1929,ACTOR,Thunderbolt,False
Warner Baxter,1929,ACTOR,In Old Arizona,True
Chester Morris,1929,ACTOR,Alibi,False
Paul Muni,1929,ACTOR,The Valiant,False
Lewis Stone,1929,ACTOR,The Patriot,False
Ruth Chatterton,1929,ACTRESS,Madame X,False
Betty Compson,1929,ACTRESS,The Barker,False
Jeanne Eagels,1929,ACTRESS,The Letter,False
Corinne Griffith,1929,ACTRESS,The Divine Lady,False
Bessie Love,1929,ACTRESS,The Broadway Melody,False
Mary Pickford,1929,ACTRESS,Coquette,True
George Arliss,1930,ACTOR,Disraeli,True
George Arliss,1930,ACTOR,The Green Goddess,False
Wallace Beery,1930,ACTOR,The Big House,False
Maurice Chevalier,1930,ACTOR,The Big Pond,False
Ronald Colman,1930,ACTOR,Bulldog Drummond,False
Lawrence Tibbett,1930,ACTOR,The Rogue Song,False
Nancy Carroll,1930,ACTRESS,The Devil's Holiday,False
Ruth Chatterton,1930,ACTRESS,Sarah and Son,False
Greta Garbo,1930,ACTRESS,Anna Christie,False
Norma Shearer,1930,ACTRESS,The Divorcee,True
Norma Shearer,1930,ACTRESS,Their Own Desire,False
Gloria Swanson,1930,ACTRESS,The Trespasser,False
Lionel Barrymore,1931,ACTOR,A Free Soul,True
Jackie Cooper,1931,ACTOR,Skippy,False
Richard Dix,1931,ACTOR,Cimarron,False
Fredric March,1931,ACTOR,The Royal Family of Broadway,False
Adolphe Menjou,1931,ACTOR,The Front Page,False
Marlene Dietrich,1931,ACTRESS,Morocco,False
Marie Dressler,1931,ACTRESS,Min and Bill,True
Irene Dunne,1931,ACTRESS,Cimarron,False
Ann Harding,1931,ACTRESS,Holiday,False
Norma Shearer,1931,ACTRESS,A Free Soul,False
Wallace Beery,1932,ACTOR,The Champ,True
Alfred Lunt,1932,ACTOR,The Guardsman,False
Fredric March,1932,ACTOR,Dr. Jekyll and Mr. Hyde,True
Marie Dressler,1932,ACTRESS,Emma,False
Lynn Fontanne,1932,ACTRESS,The Guardsman,False
Helen Hayes,1932,ACTRESS,The Sin of Madelon Claudet,True
Leslie Howard,1933,ACTOR,Berkeley Square,False
Charles Laughton,1933,ACTOR,The Private Life of Henry VIII,True
Paul Muni,1933,ACTOR,I Am a Fugitive from a Chain Gang,False
Katharine Hepburn,1933,ACTRESS,Morning Glory,True
May Robson,1933,ACTRESS,Lady for a Day,False
Diana Wynyard,1933,ACTRESS,Cavalcade,False
Clark Gable,1934,ACTOR,It Happened One Night,True
Frank Morgan,1934,ACTOR,The Affairs of Cellini,False
William Powell,1934,ACTOR,The Thin Man,False
Claudette Colbert,1934,ACTRESS,It Happened One Night,True
Bette Davis,1934,ACTRESS,Of Human Bondage,False
Grace Moore,1934,ACTRESS,One Night of Love,False
Norma Shearer,1934,ACTRESS,The Barretts of Wimpole Street,False
Clark Gable,1935,ACTOR,Mutiny on the Bounty,False
Charles Laughton,1935,ACTOR,Mutiny on the Bounty,False
Victor McLaglen,1935,ACTOR,The Informer,True
Paul Muni,1935,ACTOR,Black Fury,False
Franchot Tone,1935,ACTOR,Mutiny on the Bounty,False
Elisabeth Bergner,1935,ACTRESS,Escape Me Never,False
Claudette Colbert,1935,ACTRESS,Private Worlds,False
Bette Davis,1935,ACTRESS,Dangerous,True
Katharine Hepburn,1935,ACTRESS,Alice Adams,False
Miriam Hopkins,1935,ACTRESS,Becky Sharp,False
Merle Oberon,1935,ACTRESS,The Dark Angel,False
Gary Cooper,1936,ACTOR,Mr. Deeds Goes to Town,False
Walter Huston,1936,ACTOR,Dodsworth,False
Paul Muni,1936,ACTOR,The Story of Louis Pasteur,True
William Powell,1936,ACTOR,My Man Godfrey,False
Spencer Tracy,1936,ACTOR,San Francisco,False
Mischa Auer,1936,ACTOR IN A SUPPORTING ROLE,My Man Godfrey,False
Walter Brennan,1936,ACTOR IN A SUPPORTING ROLE,Come and Get It,True
Stuart Erwin,1936,ACTOR IN A SUPPORTING ROLE,Pigskin Parade,False
Basil Rathbone,1936,ACTOR IN A SUPPORTING ROLE,Romeo and Juliet,False
Akim Tamiroff,1936,ACTOR IN A SUPPORTING ROLE,The General Died at Dawn,False
Irene Dunne,1936,ACTRESS,Theodora Goes Wild,False
Gladys George,1936,ACTRESS,Valiant Is the Word for Carrie,False
Carole Lombard,1936,ACTRESS,My Man Godfrey,False
Luise Rainer,1936,ACTRESS,The Great Ziegfeld,True
Norma Shearer,1936,ACTRESS,Romeo and Juliet,False
Beulah Bondi,1936,ACTRESS IN A SUPPORTING ROLE,The Gorgeous Hussy,False
Alice Brady,1936,ACTRESS IN A SUPPORTING ROLE,My Man Godfrey,False
Bonita Granville,1936,ACTRESS IN A SUPPORTING ROLE,These Three,False
Maria Ouspenskaya,1936,ACTRESS IN A SUPPORTING ROLE,Dodsworth,False
Gale Sondergaard,1936,ACTRESS IN A SUPPORTING ROLE,Anthony Adverse,True
Charles Boyer,1937,ACTOR,Conquest,False
Fredric March,1937,ACTOR,A Star Is Born,False
Robert Montgomery,1937,ACTOR,Night Must Fall,False
Paul Muni,1937,ACTOR,The Life of Emile Zola,False
Spencer Tracy,1937,ACTOR,Captains Courageous,True
Ralph Bellamy,1937,ACTOR IN A SUPPORTING ROLE,The Awful Truth,False
Thomas Mitchell,1937,ACTOR IN A SUPPORTING ROLE,The Hurricane,False
Joseph Schildkraut,1937,ACTOR IN A SUPPORTING ROLE,The Life of Emile Zola,True
H. B. Warner,1937,ACTOR IN A SUPPORTING ROLE,Lost Horizon,False
Roland Young,1937,ACTOR IN A SUPPORTING ROLE,Topper,False
Irene Dunne,1937,ACTRESS,The Awful Truth,False
Greta Garbo,1937,ACTRESS,Camille,False
Janet Gaynor,1937,ACTRESS,A Star Is Born,False
Luise Rainer,1937,ACTRESS,The Good Earth,True
Barbara Stanwyck,1937,ACTRESS,Stella Dallas,False
Alice Brady,1937,ACTRESS IN A SUPPORTING ROLE,In Old Chicago,True
Andrea Leeds,1937,ACTRESS IN A SUPPORTING ROLE,Stage Door,False
Anne Shirley,1937,ACTRESS IN A SUPPORTING ROLE,Stella Dallas,False
Claire Trevor,1937,ACTRESS IN A SUPPORTING ROLE,Dead End,False
Dame May Whitty,1937,ACTRESS IN A SUPPORTING ROLE,Night Must Fall,False
Charles Boyer,1938,ACTOR,Algiers,False
James Cagney,1938,ACTOR,Angels with Dirty Faces,False
Robert Donat,1938,ACTOR,The Citadel,False
Leslie Howard,1938,ACTOR,Pygmalion,False
Spencer Tracy,1938,ACTOR,Boys Town,True
Walter Brennan,1938,ACTOR IN A SUPPORTING ROLE,Kentucky,True
John Garfield,1938,ACTOR IN A SUPPORTING ROLE,Four Daughters,False
Gene Lockhart,1938,ACTOR IN A SUPPORTING ROLE,Algiers,False
Robert Morley,1938,ACTOR IN A SUPPORTING ROLE,Marie Antoinette,False
Basil Rathbone,1938,ACTOR IN A SUPPORTING ROLE,If I Were King,False
Fay Bainter,1938,ACTRESS,White Banners,False
Bette Davis,1938,ACTRESS,Jezebel,True
Wendy Hiller,1938,ACTRESS,Pygmalion,False
Norma Shearer,1938,ACTRESS,Marie Antoinette,False
Margaret Sullavan,1938,ACTRESS,Three Comrades,False
Fay Bainter,1938,ACTRESS IN A SUPPORTING ROLE,Jezebel,True
Beulah Bondi,1938,ACTRESS IN A SUPPORTING ROLE,Of Human Hearts,False
Billie Burke,1938,ACTRESS IN A SUPPORTING ROLE,Merrily We Live,False
Spring Byington,1938,ACTRESS IN A SUPPORTING ROLE,You Can't Take It with You,False
Miliza Korjus,1938,ACTRESS IN A SUPPORTING ROLE,The Great Waltz,False
Robert Donat,1939,ACTOR,"Goodbye, Mr. Chips",True
Clark Gable,1939,ACTOR,Gone with the Wind,False
Laurence Olivier,1939,ACTOR,Wuthering Heights,False
Mickey Rooney,1939,ACTOR,Babes in Arms,False
James Stewart,1939,ACTOR,Mr. Smith Goes to Washington,False
